name,category,price,amount
whole wheat spaghetti,pasta,2.5,500 g
organic penne rigate,pasta,2.75,500 g
fresh lasagna sheets,pasta,3.5,400 g
egg noodles,egg_pasta,2.25,400 g
arborio rice,risotto_rice,4.0,500 g
basmati rice,long_grain_rice,3.5,1 kg
quinoa,ancient_grain,5.0,500 g
sourdough bread,artisan_bread,3.75,1 loaf
whole wheat tortillas,flatbread,2.5,8 pieces
frozen pie crust,baking_goods,4.0,2 pieces
lean ground beef,ground_meat,5.5,500 g
boneless chicken breasts,poultry,4.75,600 g
ribeye steak,beef_cuts,8.0,400 g
wild caught salmon fillet,fish,9.5,400 g
canned tuna in water,canned_fish,2.5,150 g
jumbo shrimp,shellfish,12.0,500 g
free-range eggs,eggs,3.25,12 pieces
whole milk,milk,2.8,1 l
heavy cream,cream,3.5,500 ml
unsalted butter,butter,3.75,250 g
sharp cheddar cheese,cheddar_cheese,4.5,250 g
fresh mozzarella ball,mozzarella_cheese,3.75,200 g
grated parmesan cheese,parmesan_cheese,5.0,100 g
crumbled feta cheese,feta_cheese,4.5,200 g
whole milk ricotta,ricotta_cheese,3.75,250 g
sour cream,cultured_cream,2.25,250 ml
Greek yogurt,yogurt,3.0,500 g
cherry tomatoes,tomatoes,2.5,250 g
roma tomatoes,tomatoes,1.75,500 g
English cucumber,cucumbers,1.25,1 piece
iceberg lettuce head,lettuce,1.5,1 head
baby spinach leaves,leafy_greens,3.0,200 g
curly kale bunch,leafy_greens,2.75,200 g
mixed salad greens,salad_mix,3.5,200 g
red bell pepper,bell_peppers,1.5,2 pieces
green zucchini,summer_squash,1.75,400 g
Italian eggplant,eggplant,2.0,1 piece
organic carrots bunch,root_vegetables,2.25,500 g
celery hearts,celery,2.5,1 bunch
broccoli crowns,cruciferous_vegetables,2.75,500 g
cauliflower head,cruciferous_vegetables,3.0,1 head
russet potatoes,potatoes,1.6,2 kg
sweet potatoes,root_vegetables,2.0,1 kg
yellow onions,onions,1.0,1 kg
garlic bulb,garlic,1.3,1 bulb
fresh ginger root,ginger,1.5,200 g
white mushrooms,mushrooms,3.5,250 g
frozen green peas,frozen_vegetables,2.0,500 g
sweet corn cobs,corn,1.75,4 pieces
French green beans,green_beans,2.75,300 g
asparagus bunch,asparagus,3.5,300 g
brussels sprouts,cruciferous_vegetables,3.25,500 g
green cabbage head,cabbage,1.75,1 head
red radishes bunch,root_vegetables,1.5,1 bunch
golden beets bunch,root_vegetables,2.25,500 g
butternut squash,winter_squash,2.5,1 piece
pumpkin,winter_squash,3.0,1 piece
leeks bunch,alliums,2.75,1 bunch
fennel bulb,aromatic_vegetables,2.5,300 g
artichoke hearts,artichokes,4.5,400 g
ripe avocados,avocados,2.5,2 pieces
lemons,citrus_fruits,1.0,4 pieces
limes,citrus_fruits,1.1,4 pieces
navel oranges,citrus_fruits,1.2,4 pieces
Granny Smith apples,apples,1.6,6 pieces
ripe bananas,bananas,1.0,1 bunch
fresh strawberries,berries,3.5,250 g
blueberry punnet,berries,4.0,125 g
raspberry punnet,berries,4.5,125 g
red grapes bunch,grapes,3.0,500 g
seedless watermelon,melons,5.5,1 piece
cantaloupe melon,melons,3.75,1 piece
fresh pineapple,tropical_fruits,4.0,1 piece
ripe mangoes,tropical_fruits,2.5,2 pieces
freestone peaches,stone_fruits,2.0,4 pieces
Bartlett pears,pears,2.25,4 pieces
Italian plums,stone_fruits,2.2,500 g
Bing cherries,cherries,5.5,500 g
golden kiwifruit,kiwi,1.5,4 pieces
extra virgin olive oil,cooking_oils,6.5,500 ml
canola oil,cooking_oils,4.0,1 l
virgin coconut oil,cooking_oils,7.0,500 ml
toasted sesame oil,flavored_oils,5.0,250 ml
aged balsamic vinegar,vinegars,5.5,250 ml
red wine vinegar,vinegars,3.75,500 ml
low-sodium soy sauce,asian_sauces,3.0,500 ml
Sriracha hot sauce,hot_sauces,2.75,500 ml
Dijon mustard,mustards,2.5,250 ml
real mayonnaise,condiments,3.25,400 ml
organic ketchup,condiments,2.8,500 ml
smoky BBQ sauce,condiments,3.5,500 ml
basil pesto,sauces,4.5,200 g
fresh salsa,sauces,3.75,500 g
classic hummus,dips,4.0,250 g
guacamole dip,dips,4.25,250 g
tahini paste,nut_pastes,5.0,300 g
clover honey,sweeteners,4.5,500 g
pure maple syrup,sweeteners,7.0,250 ml
granulated sugar,baking_sugars,1.5,1 kg
light brown sugar,baking_sugars,1.75,500 g
powdered sugar,baking_sugars,2.0,500 g
stevia sweetener,sugar_alternatives,5.0,100 g
